,Date,JAPAN Standard (Large+Mid Cap),NETHERLANDS Standard (Large+Mid Cap),NORWAY Standard (Large+Mid Cap),SINGAPORE Standard (Large+Mid Cap),AUSTRALIA Standard (Large+Mid Cap),AUSTRIA Standard (Large+Mid Cap),BELGIUM Standard (Large+Mid Cap),CANADA Standard (Large+Mid Cap),DENMARK Standard (Large+Mid Cap),SPAIN Standard (Large+Mid Cap),SWEDEN Standard (Large+Mid Cap),SWITZERLAND Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),USA Standard (Large+Mid Cap),FRANCE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),ITALY Standard (Large+Mid Cap)
0,11/30/71,111.4,80.9,137.6,143.14,61.12,109.95,113.3,110.5,85.56,106.79,98.41,101.58,119.55,104.68,85.73,81.81,177.15,63.47
1,12/31/71,125.42,86.29,150.28,147.19,75.2,112.11,118.47,122.99,90.24,113.51,101.33,105.53,128.62,111.03,88.88,87.63,216.61,67.93
2,01/31/72,135.1,92.52,146.57,156.81,72.71,113.2,125.53,128.42,95.28,118.53,105.29,114.26,135.48,113.07,94.38,93.8,214.06,70.35
3,02/29/72,147.08,97.17,144.86,167.37,80.03,116.62,131.6,132.48,98.41,122.53,104.05,119.87,143.53,116.04,100.28,101.44,221.53,65.67
4,03/31/72,154.38,95.2,150.08,199.99,82.56,116.06,137.76,132.46,97.45,127.95,111.63,122.89,143.71,117.65,112.39,106.62,232.0,66.73
5,04/28/72,162.13,95.29,148.23,203.96,80.83,116.9,136.44,132.85,103.11,133.86,113.47,122.36,148.03,117.64,115.12,103.62,258.97,70.2
6,05/31/72,175.51,106.08,146.52,200.81,84.22,125.2,138.15,139.78,112.39,139.38,108.92,131.22,144.88,117.32,121.59,106.27,281.52,72.39
7,06/30/72,182.2,102.82,164.93,208.65,86.37,125.67,139.22,142.3,123.17,142.21,109.88,121.55,131.31,115.03,116.57,104.39,295.97,72.74
8,07/31/72,197.43,108.64,169.62,238.1,81.37,146.12,147.04,141.56,124.84,145.95,112.21,129.73,138.48,114.19,124.16,110.14,321.88,71.11
9,08/31/72,201.99,109.2,174.31,247.76,81.75,142.66,144.99,151.03,127.69,151.36,116.89,133.75,139.11,118.16,124.83,107.44,296.1,71.41
10,09/29/72,210.84,103.22,164.57,237.35,79.04,140.93,145.07,149.88,125.57,149.05,115.82,132.84,123.61,118.17,122.8,103.37,322.75,70.46
11,10/31/72,217.31,103.85,156.67,251.39,83.75,143.07,143.72,146.48,156.14,159.19,114.13,131.3,123.04,119.51,117.5,101.07,414.1,71.84
12,11/30/72,255.67,105.39,159.45,329.45,86.28,147.39,144.73,153.04,165.31,156.59,117.37,126.77,131.48,123.92,109.44,102.33,435.58,78.27
13,12/29/72,277.38,106.64,159.48,459.6,88.55,149.01,149.9,159.02,182.57,155.57,114.19,132.84,129.34,125.8,106.62,100.45,556.86,75.73
14,01/31/73,281.7,112.08,185.89,533.71,91.34,164.16,159.87,158.44,204.75,166.38,118.97,138.31,120.85,122.63,113.83,106.61,650.87,70.21
15,02/28/73,305.09,120.98,203.95,469.86,92.21,178.4,186.18,154.76,214.84,185.91,126.3,149.03,122.28,116.73,128.66,115.63,1221.48,79.38
16,03/30/73,305.44,125.78,232.75,480.34,91.91,189.38,187.93,154.79,210.33,197.68,122.02,145.87,121.9,115.18,135.64,121.83,964.17,86.74
17,04/30/73,271.23,122.87,291.54,371.78,85.97,194.22,191.17,147.84,214.33,203.43,124.25,138.96,123.09,110.58,144.55,115.14,556.94,87.0
18,05/31/73,277.83,122.22,337.38,457.08,92.97,193.73,199.45,141.77,224.99,190.37,131.73,152.75,126.68,108.67,148.49,108.1,567.83,96.02
19,06/29/73,282.36,124.08,363.92,476.95,90.54,216.71,212.93,144.39,247.18,194.3,137.9,160.12,125.85,108.66,153.95,119.82,481.03,108.87
20,07/31/73,299.08,123.83,362.77,446.95,92.08,223.69,205.91,152.07,257.85,198.52,139.79,148.67,116.35,112.76,144.32,115.33,531.56,85.4
21,08/31/73,284.53,115.83,331.93,366.7,81.83,211.49,188.98,151.36,238.44,201.88,128.68,141.43,109.66,108.82,132.79,111.0,455.4,93.31
22,09/28/73,268.81,119.02,336.67,394.25,79.11,212.87,196.97,156.08,229.43,214.99,128.42,148.61,111.15,112.52,135.55,111.16,408.12,90.41
23,10/31/73,267.04,116.73,355.61,412.4,83.54,206.5,202.49,167.3,226.84,212.83,131.09,150.95,114.87,112.82,137.52,117.42,470.38,93.33
24,11/30/73,229.95,95.45,332.11,341.22,76.22,186.52,170.53,150.81,187.49,188.28,114.67,128.69,97.52,100.66,112.46,97.16,398.38,81.77
25,12/31/73,216.88,96.44,358.7,303.58,75.12,180.77,165.48,149.28,185.94,190.01,113.14,124.72,91.95,102.23,106.39,92.37,332.73,81.63
26,01/31/74,215.76,94.61,380.49,311.55,84.77,176.73,162.02,153.62,174.83,199.45,115.69,128.3,87.84,100.28,106.21,96.64,350.69,78.65
27,02/28/74,223.68,93.66,356.81,309.61,92.39,182.49,167.22,159.19,178.42,205.24,125.45,125.43,93.71,99.96,111.56,93.45,297.61,79.8
28,03/29/74,227.06,94.23,341.3,289.83,86.47,194.91,166.19,155.1,166.14,201.91,136.0,131.21,78.44,97.31,104.03,98.32,262.79,94.55
29,04/30/74,230.05,98.17,340.96,258.21,83.02,199.28,171.53,143.68,170.4,215.91,141.03,130.44,84.52,93.36,99.12,105.83,235.67,88.56
30,05/31/74,237.97,92.71,292.89,287.73,70.7,198.17,153.94,132.15,165.9,209.16,128.75,113.15,75.69,90.26,94.44,99.05,310.11,77.84
